                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                 1.6933,                 1.7894,                0.99137,                0.98363,                      1,                  0.995,                0.60513,                 1.6905,                 1.5776,                 1.3035,              0.0001916,              0.0001916,              0.0001916
                    139,                 1.4828,                 1.6468,                0.94747,                0.98363,                      1,                  0.995,                0.60513,                 1.6905,                 1.5776,                 1.3035,              0.0001784,              0.0001784,              0.0001784
                    140,                 1.6943,                 2.2676,                 1.0205,                0.98933,                      1,                  0.995,                0.56753,                 1.7529,                 1.5761,                 1.3442,              0.0001652,              0.0001652,              0.0001652
                    141,                 1.5517,                  1.737,                0.98957,                0.98933,                      1,                  0.995,                0.56753,                 1.7529,                 1.5761,                 1.3442,               0.000152,               0.000152,               0.000152
                    142,                 1.5743,                 1.9481,                  1.031,                      1,                 0.9977,                  0.995,                0.55147,                 1.8048,                 1.6372,                   1.38,              0.0001388,              0.0001388,              0.0001388
                    143,                 1.6086,                 1.8797,                 1.0564,                      1,                 0.9977,                  0.995,                0.55147,                 1.8048,                 1.6372,                   1.38,              0.0001256,              0.0001256,              0.0001256
                    144,                 1.5309,                 1.8642,                 1.0427,                      1,                0.96645,                  0.995,                0.55147,                 1.8038,                 1.7193,                 1.3763,              0.0001124,              0.0001124,              0.0001124
                    145,                  1.504,                 1.8846,                 1.0235,                      1,                0.96645,                  0.995,                0.55147,                 1.8038,                 1.7193,                 1.3763,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                 1.6452,                 1.9913,                0.98904,                      1,                0.94432,                  0.995,                0.55051,                 1.7737,                 1.7714,                 1.3641,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                 1.6145,                 1.9855,                 1.0548,                      1,                0.94432,                  0.995,                0.55051,                 1.7737,                 1.7714,                 1.3641,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                 1.6404,                 1.9211,                0.96235,                      1,                0.93015,                  0.995,                0.55051,                 1.7374,                 1.7924,                 1.3495,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                 1.5663,                 1.6364,                 1.0498,                      1,                0.93015,                  0.995,                0.55051,                 1.7374,                 1.7924,                 1.3495,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                 1.5056,                 1.7379,                 1.0392,                      1,                 0.9262,                  0.995,                0.55051,                  1.714,                 1.7825,                 1.3326,               3.32e-05,               3.32e-05,               3.32e-05
